message_id,message
SEM_001,Please bring the project notebook to the lab.
SEM_002,Meet Riya outside Gate 2 at 4:30 PM today.
SEM_003,Buy two 500 ml bottles of water and one packet of biscuits.
SEM_004,Do not upload the customer file; send only the anonymized summary.
SEM_005,"After collecting the keys from Arjun, lock Room 304 and return them to reception."
SEM_006,The delivery should arrive sometime in the evening.
SEM_007,The kitchen smells like gas; leave the room and alert the building security desk.
SEM_008,"Take the blue folder, not the green one, to the finance office before 11 AM."
SEM_009,Call Meera when the model training finishes.
SEM_010,Move tomorrow's 10 AM design review from Conference Room A to the second-floor lounge.
SEM_011,Pack 6 small batteries for the field sensor and keep 2 as backup.
SEM_012,Don't restart Server B until the database backup is complete.
SEM_013,Pick up Dad's glasses from the optician near Central Market.
SEM_014,"Send the signed agreement to Neha by Friday, but exclude Appendix C."
SEM_015,"If the network returns, sync the redacted records; otherwise keep them encrypted on the device."
SEM_016,Can you handle that thing we discussed earlier?
SEM_017,There is smoke near the charging station; disconnect power only if it is safe and notify security.
SEM_018,Deliver three vegetarian meals to Desk 18 by 1:15 PM.
SEM_019,"Remind Kabir to carry his passport, but do not include the passport number in the reminder."
SEM_020,"Walk 200 metres east from the bus stop, turn left at the pharmacy, and wait beside the café."
SEM_021,Reserve a table for five at Spice Garden for 8 PM on Saturday.
SEM_022,Do not give the medicine to the child; contact the guardian and a qualified medical professional.
SEM_023,"Download the small model over Wi-Fi, verify its checksum, then switch the phone to airplane mode."
SEM_024,The package is needed soon.
SEM_025,Transfer ₹750 to the approved vendor account after Priya confirms the invoice; never include payment credentials in the packet.
SEM_026,"Bring either the USB-C adapter or, if unavailable, the universal adapter."
SEM_027,"At 7:05 AM, send Bus 12 to Platform 3 with no more than 20 passengers."
SEM_028,"The meeting is at 3 PM, not 3:30 PM, and it will be online rather than in Room 5."
SEM_029,Collect four temperature readings at 10-minute intervals and report only the average.
SEM_030,Please ask them to come over later.
SEM_031,The person is unconscious; call the local emergency service and do not offer food or drink.
SEM_032,Leave the confidential envelope sealed and hand it directly to Dr. Shah at Clinic B.
SEM_033,Send 12 sample images compressed to under 2 MB each before midnight UTC.
SEM_034,"Cancel today's client call, but keep tomorrow's internal review unchanged."
SEM_035,"When Aisha reaches Terminal 1, tell her the pickup has moved to Pillar 14 on Level 2."
SEM_036,The freezer alarm is sounding; keep the door closed and inform the maintenance team immediately.
SEM_037,Please return my charger whenever you can.
SEM_038,"Translate the warning into Hindi and Tamil, then save both versions locally."
SEM_039,Set the sensor threshold to 38.5°C; do not set it to 35.8°C.
SEM_040,Bring the blue insulin pouch from the refrigerator to City Hospital before 6 PM; do not bring the red pouch.
SEM_041,"At 9 PM, dim the hallway lights to 30%, but leave the emergency lights at full brightness."
SEM_042,Email the public brochure to all attendees and send the private price list only to the procurement lead.
SEM_043,"Find the nearest open clinic, but share only the area—not my exact location—with the remote service."
SEM_044,The north bridge is closed; take the river road and avoid the tunnel.
SEM_045,"Record a 20-second audio note, remove names, and transmit it using less than 50 KB."
SEM_046,"I might need a ride after lunch, perhaps from the usual place."
SEM_047,Water is leaking beside an electrical socket; keep people away and contact building maintenance.
SEM_048,Wake Sam at 5:45 AM only if the overnight test fails.
SEM_049,Order 24 masks in size M and 12 in size L; no size S masks are required.
SEM_050,Take Train 12627 from Chennai Central at 7:40 PM and get off at Bengaluru Cantonment.
SEM_051,Do not delete the raw readings until the compressed backup has been verified twice.
SEM_052,Share the meeting link with the engineering team except external contractors.
SEM_053,"The battery is swelling; stop using the device, move away from it, and alert the responsible safety team."
SEM_054,"Photograph Shelf 7, crop out the employee badge, and upload only the product label."
SEM_055,"Drop the parcel at House 18 before noon unless it starts raining; if it rains, leave it at the depot."
SEM_056,Use Model A for English requests and Model B for Hindi requests; use rules when confidence is below 0.60.
SEM_057,Something changed with tomorrow's booking—please check.
SEM_058,The label says 'flammable'; keep the container away from heat and notify the site supervisor about any damage.
SEM_059,"Send the first three pages to Omar, not the entire 40-page document."
SEM_060,"At 2:20 PM, collect Leena from Entrance C, wait for 15 minutes, then call the coordinator if she has not arrived."
